Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date
ORD345828,CUS2821,B2C,San Pellegrino,Water,0.89,11,0.0,9.79,Schleswig-Holstein,2022-12-25
ORD345829,CUS8146,B2C,Rotkäppchen Sekt,Alcoholic Beverages,8.05,3,0.0,24.15,Bayern,2021-02-04
ORD345829,CUS8146,B2C,Rauch Multivitamin,Juices,2.31,10,0.0,23.1,Bayern,2021-02-04
ORD345829,CUS8146,B2C,Pepsi,Soft Drinks,1.49,3,0.0,4.47,Bayern,2021-02-04
ORD345829,CUS8146,B2C,Cranberry Juice,Juices,3.46,10,0.0,34.6,Bayern,2021-02-04
ORD345829,CUS8146,B2C,Augustiner,Alcoholic Beverages,1.09,5,0.0,5.45,Bayern,2021-02-04
ORD345830,CUS7989,B2C,San Pellegrino,Water,0.91,3,0.0,2.73,Saarland,2023-11-04
ORD345830,CUS7989,B2C,Erdinger Weißbier,Alcoholic Beverages,2.04,11,0.0,22.44,Saarland,2023-11-04
ORD345830,CUS7989,B2C,Cranberry Juice,Juices,3.67,9,0.0,33.03,Saarland,2023-11-04
ORD345831,CUS457,B2B,Rauch Multivitamin,Juices,1.9,16,0.05,28.88,Brandenburg,2022-05-07
ORD345831,CUS457,B2B,Warsteiner,Alcoholic Beverages,1.53,75,0.15,97.54,Brandenburg,2022-05-07
ORD345832,CUS2390,B2B,Tomato Juice,Juices,2.14,37,0.05,75.22,Nordrhein-Westfalen,2023-04-19
ORD345832,CUS2390,B2B,Vio Wasser,Water,1.37,60,0.05,78.09,Nordrhein-Westfalen,2023-04-19
ORD345833,CUS3034,B2C,Monster,Soft Drinks,3.21,5,0.0,16.05,Berlin,2022-05-25
ORD345833,CUS3034,B2C,Rockstar,Soft Drinks,2.27,13,0.0,29.51,Berlin,2022-05-25
ORD345833,CUS3034,B2C,Chardonnay,Alcoholic Beverages,4.88,10,0.0,48.8,Berlin,2022-05-25
ORD345833,CUS3034,B2C,Club Mate,Soft Drinks,2.19,3,0.0,6.57,Berlin,2022-05-25
ORD345833,CUS3034,B2C,Cranberry Juice,Juices,3.56,7,0.0,24.92,Berlin,2022-05-25
ORD345834,CUS2123,B2C,Pepsi,Soft Drinks,1.49,9,0.0,13.41,Rheinland-Pfalz,2021-09-02
ORD345834,CUS2123,B2C,Cranberry Juice,Juices,3.46,1,0.0,3.46,Rheinland-Pfalz,2021-09-02
ORD345834,CUS2123,B2C,Apollinaris,Water,0.93,8,0.0,7.44,Rheinland-Pfalz,2021-09-02
ORD345835,CUS9557,B2B,Club Mate,Soft Drinks,2.27,44,0.05,94.89,Hamburg,2021-09-08
ORD345835,CUS9557,B2B,Rauch Multivitamin,Juices,2.77,35,0.05,92.1,Hamburg,2021-09-08
ORD345835,CUS9557,B2B,Granini Apple,Juices,1.78,71,0.1,113.74,Hamburg,2021-09-08
ORD345835,CUS9557,B2B,Fritz-Kola,Soft Drinks,2.1,17,0.05,33.92,Hamburg,2021-09-08
ORD345836,CUS8048,B2C,Volvic,Water,0.57,5,0.0,2.85,Baden-Württemberg,2022-10-16
ORD345836,CUS8048,B2C,Hohes C Orange,Juices,1.8,8,0.0,14.4,Baden-Württemberg,2022-10-16
ORD345836,CUS8048,B2C,Pepsi,Soft Drinks,1.53,5,0.0,7.65,Baden-Württemberg,2022-10-16
ORD345836,CUS8048,B2C,Vio Wasser,Water,1.66,5,0.0,8.3,Baden-Württemberg,2022-10-16
ORD345837,CUS2633,B2C,Apollinaris,Water,0.93,11,0.0,10.23,Brandenburg,2021-12-03
ORD345837,CUS2633,B2C,Evian,Water,1.23,12,0.0,14.76,Brandenburg,2021-12-03
ORD345837,CUS2633,B2C,Rauch Multivitamin,Juices,2.31,3,0.0,6.93,Brandenburg,2021-12-03
ORD345838,CUS6463,B2C,Cranberry Juice,Juices,3.67,4,0.0,14.68,Sachsen-Anhalt,2023-07-06
ORD345838,CUS6463,B2C,Coca-Cola,Soft Drinks,1.21,11,0.0,13.31,Sachsen-Anhalt,2023-07-06
ORD345838,CUS6463,B2C,Pepsi,Soft Drinks,1.74,9,0.0,15.66,Sachsen-Anhalt,2023-07-06
ORD345838,CUS6463,B2C,Rockstar,Soft Drinks,2.34,14,0.0,32.76,Sachsen-Anhalt,2023-07-06
ORD345839,CUS7845,B2C,Granini Apple,Juices,1.64,10,0.0,16.4,Rheinland-Pfalz,2022-10-18
ORD345839,CUS7845,B2C,Sauvignon Blanc,Alcoholic Beverages,8.83,11,0.0,97.13,Rheinland-Pfalz,2022-10-18
ORD345839,CUS7845,B2C,Cranberry Juice,Juices,3.56,15,0.0,53.4,Rheinland-Pfalz,2022-10-18
ORD345839,CUS7845,B2C,Fritz-Kola,Soft Drinks,2.05,7,0.0,14.35,Rheinland-Pfalz,2022-10-18
