Order_ID,Customer_ID,Customer_Type,Product,Category,Unit_Price,Quantity,Discount,Total_Price,Region,Order_Date
ORD1,CUS1496,B2B,Vio Wasser,Water,1.66,53,0.1,79.18,Baden-Württemberg,2023-08-23
ORD1,CUS1496,B2B,Evian,Water,1.56,90,0.1,126.36,Baden-Württemberg,2023-08-23
ORD1,CUS1496,B2B,Sprite,Soft Drinks,1.17,73,0.05,81.14,Baden-Württemberg,2023-08-23
ORD1,CUS1496,B2B,Rauch Multivitamin,Juices,3.22,59,0.1,170.98,Baden-Württemberg,2023-08-23
ORD1,CUS1496,B2B,Gerolsteiner,Water,0.87,35,0.1,27.4,Baden-Württemberg,2023-08-23
ORD2,CUS2847,B2C,Sauvignon Blanc,Alcoholic Beverages,9.09,2,0.0,18.18,Schleswig-Holstein,2023-03-16
ORD3,CUS1806,B2B,Tomato Juice,Juices,2.14,44,0.1,84.74,Hamburg,2022-11-20
ORD3,CUS1806,B2B,Vittel,Water,0.43,13,0.05,5.31,Hamburg,2022-11-20
ORD3,CUS1806,B2B,San Pellegrino,Water,1.21,92,0.1,100.19,Hamburg,2022-11-20
ORD3,CUS1806,B2B,Evian,Water,1.38,3,0.05,3.93,Hamburg,2022-11-20
ORD4,CUS2275,B2C,Mountain Dew,Soft Drinks,0.99,11,0.0,10.89,Bayern,2023-11-05
ORD5,CUS7919,B2B,Hohes C Orange,Juices,1.52,8,0.05,11.55,Bayern,2023-08-05
ORD5,CUS7919,B2B,Red Bull,Soft Drinks,2.13,16,0.05,32.38,Bayern,2023-08-05
ORD5,CUS7919,B2B,Chardonnay,Alcoholic Beverages,6.45,3,0.05,18.38,Bayern,2023-08-05
ORD5,CUS7919,B2B,Tanqueray,Alcoholic Beverages,33.36,43,0.15,1219.31,Bayern,2023-08-05
ORD6,CUS533,B2B,Rotkäppchen Sekt,Alcoholic Beverages,5.89,44,0.05,246.2,Saarland,2023-02-18
ORD6,CUS533,B2B,Mango Juice,Juices,2.5,10,0.05,23.75,Saarland,2023-02-18
ORD6,CUS533,B2B,Apollinaris,Water,0.82,13,0.05,10.13,Saarland,2023-02-18
ORD6,CUS533,B2B,Mountain Dew,Soft Drinks,1.87,89,0.15,141.47,Saarland,2023-02-18
ORD6,CUS533,B2B,Riesling,Alcoholic Beverages,11.48,21,0.05,229.03,Saarland,2023-02-18
ORD7,CUS9366,B2C,Vio Wasser,Water,1.61,13,0.0,20.93,Baden-Württemberg,2021-01-12
ORD7,CUS9366,B2C,Rauch Multivitamin,Juices,2.31,7,0.0,16.17,Baden-Württemberg,2021-01-12
ORD8,CUS6944,B2C,Granini Apple,Juices,1.64,2,0.0,3.28,Schleswig-Holstein,2022-12-03
ORD8,CUS6944,B2C,Fanta,Soft Drinks,1.19,15,0.0,17.85,Schleswig-Holstein,2022-12-03
